Date,Year,Month,Decade,Season,Monthly_Anomaly,Monthly_Unc,Is_Positive_Anomaly,Is_Cold_Month,Is_Hot_Month,Above_1C,Above_1_5C,Above_2C
1856-06-01,1856,6,1850,Summer,-0.121,0.299,False,False,False,False,False,False
1856-07-01,1856,7,1850,Summer,-0.236,0.186,False,False,False,False,False,False
1856-08-01,1856,8,1850,Summer,-0.512,0.333,False,True,False,False,False,False
1856-09-01,1856,9,1850,Autumn,-0.711,0.32,False,True,False,False,False,False
1856-10-01,1856,10,1850,Autumn,-0.677,0.212,False,True,False,False,False,False
1856-11-01,1856,11,1850,Autumn,-0.575,0.276,False,True,False,False,False,False
1856-12-01,1856,12,1850,Winter,-0.426,0.323,False,False,False,False,False,False
1857-01-01,1857,1,1850,Winter,-0.507,0.401,False,True,False,False,False,False
1857-02-01,1857,2,1850,Winter,-0.542,0.313,False,True,False,False,False,False
1857-03-01,1857,3,1850,Spring,-0.629,0.239,False,True,False,False,False,False
1857-04-01,1857,4,1850,Spring,-0.815,0.264,False,True,False,False,False,False
1857-05-01,1857,5,1850,Spring,-0.751,0.263,False,True,False,False,False,False
1857-06-01,1857,6,1850,Summer,-0.546,0.258,False,True,False,False,False,False
1857-07-01,1857,7,1850,Summer,-0.487,0.27,False,False,False,False,False,False
1857-08-01,1857,8,1850,Summer,-0.446,0.296,False,False,False,False,False,False
1857-09-01,1857,9,1850,Autumn,-0.477,0.28,False,False,False,False,False,False
1857-10-01,1857,10,1850,Autumn,-0.529,0.268,False,True,False,False,False,False
1857-11-01,1857,11,1850,Autumn,-0.502,0.3,False,True,False,False,False,False
1857-12-01,1857,12,1850,Winter,-0.223,0.258,False,False,False,False,False,False
1858-01-01,1858,1,1850,Winter,-0.21,0.356,False,False,False,False,False,False
1858-02-01,1858,2,1850,Winter,-0.489,0.268,False,False,False,False,False,False
1858-03-01,1858,3,1850,Spring,-0.307,0.25,False,False,False,False,False,False
1858-04-01,1858,4,1850,Spring,-0.279,0.243,False,False,False,False,False,False
1858-05-01,1858,5,1850,Spring,-0.406,0.222,False,False,False,False,False,False
1858-06-01,1858,6,1850,Summer,-0.255,0.227,False,False,False,False,False,False
1858-07-01,1858,7,1850,Summer,-0.313,0.214,False,False,False,False,False,False
1858-08-01,1858,8,1850,Summer,-0.317,0.194,False,False,False,False,False,False
1858-09-01,1858,9,1850,Autumn,-0.482,0.223,False,False,False,False,False,False
1858-10-01,1858,10,1850,Autumn,-0.282,0.237,False,False,False,False,False,False
1858-11-01,1858,11,1850,Autumn,-0.178,0.253,False,False,False,False,False,False
1858-12-01,1858,12,1850,Winter,-0.492,0.279,False,False,False,False,False,False
1859-01-01,1859,1,1850,Winter,-0.348,0.313,False,False,False,False,False,False
1859-02-01,1859,2,1850,Winter,-0.294,0.273,False,False,False,False,False,False
1859-03-01,1859,3,1850,Spring,-0.24,0.271,False,False,False,False,False,False
1859-04-01,1859,4,1850,Spring,0.011,0.226,True,False,False,False,False,False
1859-05-01,1859,5,1850,Spring,0.017,0.214,True,False,False,False,False,False
1859-06-01,1859,6,1850,Summer,-0.112,0.185,False,False,False,False,False,False
1859-07-01,1859,7,1850,Summer,-0.308,0.211,False,False,False,False,False,False
1859-08-01,1859,8,1850,Summer,-0.349,0.207,False,False,False,False,False,False
1859-09-01,1859,9,1850,Autumn,-0.522,0.199,False,True,False,False,False,False
1859-10-01,1859,10,1850,Autumn,-0.241,0.244,False,False,False,False,False,False
1859-11-01,1859,11,1850,Autumn,-0.192,0.27,False,False,False,False,False,False
1859-12-01,1859,12,1850,Winter,-0.089,0.503,False,False,False,False,False,False
1860-01-01,1860,1,1860,Winter,-0.328,0.321,False,False,False,False,False,False
1860-02-01,1860,2,1860,Winter,-0.31,0.342,False,False,False,False,False,False
1860-03-01,1860,3,1860,Spring,-0.694,0.269,False,True,False,False,False,False
1860-04-01,1860,4,1860,Spring,-0.278,0.221,False,False,False,False,False,False
1860-05-01,1860,5,1860,Spring,-0.217,0.23,False,False,False,False,False,False
1860-06-01,1860,6,1860,Summer,-0.199,0.179,False,False,False,False,False,False
1860-07-01,1860,7,1860,Summer,-0.26,0.259,False,False,False,False,False,False
1860-08-01,1860,8,1860,Summer,-0.209,0.212,False,False,False,False,False,False
1860-09-01,1860,9,1860,Autumn,-0.294,0.209,False,False,False,False,False,False
1860-10-01,1860,10,1860,Autumn,-0.354,0.207,False,False,False,False,False,False
1860-11-01,1860,11,1860,Autumn,-0.533,0.286,False,True,False,False,False,False
1860-12-01,1860,12,1860,Winter,-0.861,0.374,False,True,False,False,False,False
1861-01-01,1861,1,1860,Winter,-1.004,0.49,False,True,False,False,False,False
1861-02-01,1861,2,1860,Winter,-0.658,0.322,False,True,False,False,False,False
1861-03-01,1861,3,1860,Spring,-0.583,0.248,False,True,False,False,False,False
1861-04-01,1861,4,1860,Spring,-0.438,0.279,False,False,False,False,False,False
1861-05-01,1861,5,1860,Spring,-0.448,0.214,False,False,False,False,False,False
1861-06-01,1861,6,1860,Summer,-0.369,0.213,False,False,False,False,False,False
1861-07-01,1861,7,1860,Summer,-0.313,0.224,False,False,False,False,False,False
1861-08-01,1861,8,1860,Summer,-0.199,0.21,False,False,False,False,False,False
